Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,RAM,Storage Capacity,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Purchase Date,Ship Date,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Finance Amount,Credit Score,Discount Amount,Cost Price,Sale Price
Africa,Morocco,Sidi Slimane,KyaSand Tech Gadgets,4,Asus,Chromebook Flip C434,HDD,16GB,256GB,Aaron,Miller,827.137.3600,hernandezmark@example.com,Emma Scott,Repairs,Bank Transfer,45088,N/A,Offline,Low,3222,948,14921,0,417,212,13387,15514
North America,New York,Buffalo,GHI Machines,10,Acer,Aspire E 15,HDD,8GB,1TB,Lindsay,Foster,(961)494-7942,matthew44@example.org,Sean Guerrero,Returns,Cash,44861,N/A,Offline,Low,0,234,33397,0,497,768,28731,33413
Africa,Ghana,Volta,XYZ Tech,2,MSI,Modern 15,SSD,16GB,1TB,Kimberly,Jones,3133087850,williamsonjean@example.net,Kevin Lee,Returns,Cash,44898,44900,Online,High,0,841,21444,0,827,170,20271,22789
Africa,Egypt,Damietta,Frankies Hardware and Software,7,Asus,Chromebook Flip C434,HDD,8GB,500GB,Sharon,Wallace,001-788-955-2958x04487,angela22@example.net,Jeffrey Nelson,Repairs,Finance,44397,44417,Online,Medium,4971,651,11951,16507,802,202,11005,14997
North America,Texas,Midland,Benjis Tech,3,Lenovo,IdeaCentre AIO 3,SSD,8GB,1TB,Glenn,Reynolds,001-567-375-9510x4110,carterkeith@example.org,Laurie Wright,Second-hand Sales,Bank Transfer,44466,N/A,Offline,Low,0,84,14724,0,682,712,14641,19246
Africa,Tanzania,Singida,XYZ Tech,4,Acer,Predator Triton 500,HDD,8GB,500GB,Marissa,Bauer,-3610,patrickkoch@example.net,Jennifer Morales,Second-hand Sales,Cash,45170,N/A,Offline,Medium,0,809,27267,0,574,917,26467,31369
North America,Georgia,Douglasville,Western International PCs,9,MSI,GP76 Leopard,SSD,4GB,1TB,Bruce,Rowe,067.453.2903,brandonhernandez@example.com,Kimberly Smith,New Sales,Bank Transfer,45006,45022,Online,High,0,278,21360,0,555,378,18747,21928
North America,North Carolina,Hickory,Benjis Tech,3,Apple,Apple Lisa,SSD,2GB,1TB,Ryan,Daniels,282.932.2998,ifreeman@example.org,Tamara Clark,Repairs,Finance,44758,44760,Online,High,3103,954,6939,4328,717,515,4083,7007
Africa,Tanzania,Mbeya,GH PC Shop,9,HP,Omen,HDD,2GB,500GB,Ashley,Ellis,(293)195-3267,vking@example.net,Antonio Cobb,Second-hand Sales,Finance,45119,45149,Online,High,0,688,15848,15612,443,190,13581,16227
North America,Florida,Davie,Benjis Tech,4,Asus,ProArt StudioBook Pro X,HDD,8GB,256GB,Victoria,Russell,(005)499-7137,tyler13@example.net,Mark Evans,Returns,Finance,45155,45173,Online,Medium,0,353,19841,45981,850,653,18836,20883
Africa,Angola,Huambo,Mini Tech,8,Asus,ZenBook UX425,HDD,8GB,1TB,Jeremy,Mejia,399.862.4797x6808,usnyder@example.org,Kimberly Duncan,Returns,Finance,45209,N/A,Offline,Low,0,546,10320,49829,688,640,9353,13704
Africa,Morocco,Casablanca-Settat,S & A Computer Place,1,Asus,ROG Zephyrus S GX701,SSD,8GB,500GB,Patty,Holt,+1-244-868-1993x64468,cchavez@example.com,John Whitney,New Sales,Bank Transfer,44511,N/A,Offline,Low,0,446,24582,0,499,550,23189,25845
Africa,Morocco,Khenifra,DEF Machines,3,Acer,Aspire 7,HDD,8GB,500GB,Christina,Acosta,001-003-336-4548x8250,danielmartin@example.org,Brian Johnson,Second-hand Sales,Bank Transfer,44742,44765,Online,Low,0,795,15201,0,471,343,14443,16716
Africa,Botswana,Kgatleng,ABC Computers,7,Samsung,Chromebook 4,SSD,2GB,500GB,Kathleen,Walker,(789)033-5129,caseyparsons@example.com,Sarah Riley,Second-hand Sales,Cash,45213,N/A,Offline,Medium,0,536,7657,0,841,700,5268,8074
North America,California,San Diego,Ricks Computers,5,MSI,GS66 Stealth,SSD,2GB,256GB,Amy,Arnold,998-521-2041x1154,wooderica@example.net,Ryan Bradley,Returns,Bank Transfer,44742,N/A,Offline,Low,0,170,15211,0,818,778,13882,16343
North America,Texas,Fort Worth,Jacks Hardware,5,MSI,Alpha 15,HDD,4GB,256GB,Kelly,Bentley,881.624.4495,hlopez@example.com,Diana Rodriguez,New Sales,Bank Transfer,44976,N/A,Offline,Medium,0,388,25982,0,582,852,25103,28473
Africa,Ghana,Central,ABC Computers,1,Apple,Apple MacBook Air,SSD,2GB,500GB,Joann,Hernandez,001-303-065-3469,tyler29@example.org,George Morales,Returns,Finance,44558,44583,Online,High,0,468,28240,7313,514,818,26587,29298
Africa,Ghana,Northern,Western International PCs,7,Asus,ROG Zephyrus S GX701,SSD,8GB,256GB,Juan,Moody,505-364-3653x79474,chenmatthew@example.org,Diana Ashley MD,New Sales,Bank Transfer,44273,N/A,Offline,Medium,0,92,6046,0,545,923,4201,7473
North America,Florida,Deltona,Ricks Computers,1,Acer,Chromebook Spin 311,SSD,2GB,500GB,Barry,Brown,001-448-282-5284,melissadavis@example.org,Rachel Rowe,New Sales,Finance,44446,44457,Online,Low,0,474,9112,23369,595,453,4749,9484
North America,Pennsylvania,Reading,Ricks Computers,5,HP,Pavilion,SSD,4GB,1TB,Brianna,Brown,594.077.2010,wigginsdenise@example.org,Carl Davis,Repairs,Finance,45001,N/A,Offline,Medium,1547,112,25684,4675,655,193,23464,26857
Africa,Egypt,Ismailia,Mini Tech,8,Acer,Spin 5,SSD,16GB,500GB,Cynthia,Johnson,934.699.0088x16285,itaylor@example.org,Evan Scott,Returns,Cash,45241,45258,Online,Low,0,394,24945,0,403,170,20646,25607
North America,California,Bakersfield,LJ Computers,9,Samsung,Notebook Flash,SSD,8GB,256GB,Alexis,Johnson,306-438-7480,ncruz@example.com,Linda Perez,Second-hand Sales,Cash,44594,N/A,Offline,Medium,0,254,3935,0,624,593,3460,5650
North America,Michigan,Saginaw,DEF Machines,7,Toshiba,Qosmio,HDD,16GB,256GB,Mark,Reynolds,6383473868,christylove@example.com,Allen Juarez,Returns,Cash,45021,N/A,Offline,Low,0,289,21575,0,641,173,20090,22526
North America,Michigan,Jackson,Mini Tech,1,Samsung,Notebook 9,HDD,2GB,500GB,Haley,Johnson,+1-326-755-5281x80393,thomas15@example.com,Michael Gomez,Second-hand Sales,Finance,44628,44647,Online,Medium,0,959,6487,38378,482,490,4593,6953
North America,New York,Albany,Western International PCs,1,Apple,Apple iMac,SSD,16GB,500GB,Michael,Hanson,014.617.2076x63663,grobinson@example.org,Natalie Jimenez,New Sales,Bank Transfer,44395,44417,Online,Medium,0,744,8624,0,701,260,7951,10170
North America,California,Chula Vista,A & A PCs,6,Apple,Apple Mac Pro,HDD,4GB,500GB,Jodi,Stewart,414-673-7161x1838,zmayer@example.org,Larry Smith,Second-hand Sales,Finance,44725,44731,Online,Low,0,350,5692,19353,442,270,5663,10256
North America,Michigan,East Lansing,GHI Machines,5,MSI,GS66 Stealth,HDD,2GB,1TB,Nicholas,Jensen,+1-814-204-8513x5595,jenniferhansen@example.net,Tiffany Velez,Second-hand Sales,Cash,44892,N/A,Offline,Medium,0,649,11170,0,619,271,9122,14020
Africa,Ghana,Western,GHI Machines,1,Acer,ConceptD 5,HDD,16GB,1TB,Sheena,Williams,(438)488-0963x4328,alicia18@example.org,Sheila Nichols,New Sales,Finance,44610,N/A,Offline,Medium,0,662,25550,40484,450,39,24482,27292
Africa,Nigeria,Lagos,Ricks Computers,9,Acer,Nitro 5,SSD,2GB,256GB,Jennifer,Taylor,658.387.7294x85553,elizabeth51@example.org,Randy Dillon,Second-hand Sales,Finance,44368,44396,Online,Low,0,563,8539,29307,570,915,6631,11466
North America,California,Fremont,DEF Machines,9,Lenovo,IdeaPad Flex 5,SSD,16GB,500GB,Christopher,Mcmahon,918-796-4338,michaelstevens@example.net,Ryan Bradley,Returns,Bank Transfer,44989,N/A,Offline,High,0,303,11928,0,586,315,9596,14131
North America,Illinois,Bloomington,Western International PCs,8,Lenovo,IdeaPad 5,SSD,4GB,256GB,Gina,Washington,-2747,christinabyrd@example.com,Amanda Mitchell,Second-hand Sales,Finance,44799,N/A,Offline,Low,0,305,9828,19212,713,291,8356,12321
North America,Florida,Tallahassee,ABC Computers,5,Lenovo,ThinkCentre M920 Tiny,SSD,16GB,500GB,James,Johnson,118-638-5905,ekemp@example.net,William Macdonald,Repairs,Bank Transfer,44483,44490,Online,Low,1873,27,17193,0,817,298,14370,18453
Africa,Angola,Moxico,GH PC Shop,3,Microsoft,Surface Duo,SSD,4GB,500GB,Wendy,Mayer,9368163247,gfox@example.net,Kenneth Willis,Returns,Finance,45127,45151,Online,Medium,0,105,9063,39443,414,231,7231,10789
North America,California,San Diego,Benjis Tech,2,Dell,Venue,SSD,2GB,500GB,Rebecca,Mitchell,906-545-0742,douglashaley@example.com,Sean Rodriguez,Returns,Finance,44970,N/A,Offline,Low,0,419,7752,21266,799,963,5386,9282
North America,Pennsylvania,Harrisburg,S & A Computer Place,3,Dell,OptiPlex,HDD,4GB,1TB,Allison,Frank,068-974-7237x582,brivas@example.net,Michael Smith,Returns,Cash,45152,N/A,Offline,Low,0,19,11125,0,511,584,6927,11469
North America,Illinois,Orland Park,Jacks Hardware,2,MSI,GE76 Raider,SSD,4GB,500GB,Cynthia,Smith,847129069,lori80@example.com,Jason Phillips,Repairs,Finance,45064,45071,Online,Low,4923,101,25533,9058,600,667,22107,27024
North America,Ohio,Lakewood,Frankies Hardware and Software,8,Apple,Apple Macintosh SE,HDD,4GB,256GB,Lindsey,Murphy,708.775.6903x932,williamhuang@example.net,Mr. Nathan Douglas,Repairs,Bank Transfer,45293,45308,Online,High,4542,767,21420,0,778,948,21086,24084
North America,Ohio,Westerville,XYZ Tech,1,Toshiba,Tecra,HDD,16GB,1TB,Valerie,Rivas,668-371-4449x2490,fjackson@example.org,Erin Tucker,Second-hand Sales,Bank Transfer,44716,N/A,Offline,High,0,936,15692,0,744,28,14349,18555
North America,North Carolina,Statesville,Benjis Tech,10,Acer,ConceptD 5,HDD,8GB,500GB,Andrea,Willis,001-174-815-9084x56319,andrew77@example.net,Brady Walton,Second-hand Sales,Bank Transfer,44502,44519,Online,Low,0,452,10225,0,482,620,9767,13362
North America,California,Irvine,LJ Computers,3,Microsoft,Surface Go,SSD,8GB,500GB,Lauren,Young,+1-766-710-8960x1703,melissasantos@example.org,Joy Holt,Second-hand Sales,Finance,44641,44657,Online,Low,0,990,7484,2655,430,151,6985,9201
North America,Georgia,Alpharetta,Jacks Hardware,6,HP,ZBook,SSD,2GB,256GB,Robert,Clay,+1-396-426-9960x68528,sosawilliam@example.org,Christine Ramirez,Second-hand Sales,Cash,44780,44786,Online,High,0,565,11281,0,849,190,10014,14034
North America,Georgia,Kennesaw,Western International PCs,9,Microsoft,Surface Book,HDD,2GB,256GB,Ronald,Hernandez,113.730.8303x113,smithcarlos@example.net,Jacqueline Rice,Returns,Cash,45078,45107,Online,Low,0,852,27873,0,539,857,25612,28944
North America,Ohio,Fairfield,KyaSand Tech Gadgets,9,Toshiba,Portege,HDD,2GB,500GB,Tiffany,Smith,(943)789-2774x1086,leewilliam@example.org,Max Mccann,Second-hand Sales,Cash,44895,44912,Online,Low,0,78,6802,0,418,461,5080,7332
Africa,Kenya,Meru,Benjis Tech,8,Samsung,Notebook 9 Pen,SSD,16GB,256GB,Richard,Berg,(692)196-5637x23599,jennifer33@example.net,Christopher Santos,Repairs,Cash,45277,N/A,Offline,Medium,1794,935,29346,0,812,343,25852,29830
North America,Texas,Frisco,Western International PCs,1,Toshiba,Chromebook,HDD,8GB,1TB,Jeffrey,Wright,210.385.6260x225,moorelisa@example.net,Melanie Taylor,Second-hand Sales,Cash,44417,44434,Online,Medium,0,518,30221,0,681,905,26905,31801
North America,New York,Rochester,Ricks Computers,1,Dell,Latitude,HDD,2GB,1TB,Rose,Wolfe,+1-751-206-0073x4078,zfowler@example.net,Kelsey Olson,Repairs,Bank Transfer,44678,N/A,Offline,Medium,1471,865,13448,0,612,326,13249,16078
North America,Ohio,Newark,ABC Computers,9,Asus,TUF Gaming A15,HDD,2GB,1TB,Brandon,Farrell,644781294,wanderson@example.net,Jason Gentry,New Sales,Bank Transfer,44417,44428,Online,High,0,508,14072,0,810,943,12826,17042
North America,Ohio,Toledo,ABC Computers,2,Lenovo,ThinkPad X1 Carbon,SSD,16GB,500GB,Jordan,Reeves,745.449.9504,scottpatton@example.com,Ann Johnson,New Sales,Cash,44269,44298,Online,Low,0,858,17929,0,580,963,15611,17945
Africa,Botswana,North-West,Ricks Computers,5,MSI,Alpha 15,HDD,4GB,500GB,Hannah,Harris,001-017-542-7675x976,owensanna@example.org,Melissa Dunn,Second-hand Sales,Cash,45354,45373,Online,High,0,308,26910,0,723,533,26863,29090
Africa,Angola,Cabinda,KyaSand Tech Gadgets,8,Lenovo,ThinkCentre M920 Tiny,SSD,2GB,256GB,James,Hamilton,001-300-497-8977,fernandezkathleen@example.net,Brian Clarke,Second-hand Sales,Bank Transfer,44527,N/A,Offline,High,0,152,29513,0,753,559,26466,30472
Africa,Ethiopia,Gambela,Frankies Hardware and Software,2,Microsoft,Surface Neo,HDD,8GB,500GB,Ashley,Everett,-5329,thomaspatrick@example.org,Kenneth Herring,Repairs,Cash,44940,N/A,Offline,Medium,4945,257,13559,0,840,900,9284,14198
North America,Georgia,Marietta,KyaSand Tech Gadgets,6,Samsung,Chromebook 4,SSD,2GB,500GB,Jill,Mueller,-1316,robert44@example.com,Chris Jones,New Sales,Cash,45025,45047,Online,Medium,0,413,21015,0,706,757,16950,21334
North America,North Carolina,Havelock,KyaSand Tech Gadgets,3,Apple,Apple MacBook Pro,HDD,8GB,256GB,Mike,Bennett,(765)367-5954,austin13@example.org,Craig Wheeler,New Sales,Cash,45259,N/A,Offline,High,0,975,29212,0,511,732,26397,31019
Africa,Egypt,Beni Suef,ABC Computers,9,Dell,XPS,SSD,2GB,256GB,Ann,Hancock,-9866,sarah84@example.net,Allison Gilbert,Repairs,Finance,45271,45279,Online,High,2275,58,8132,39606,833,604,7364,10483
North America,Texas,Midland,ABC Computers,4,Apple,Apple Macintosh SE,SSD,16GB,500GB,Sandra,Miller,015.493.4435,levinestacey@example.net,Melanie Taylor,Second-hand Sales,Finance,44827,N/A,Offline,Medium,0,65,5708,34464,493,677,5503,7550
Africa,Botswana,Kgatleng,CK Tech Store,8,Microsoft,Surface Go,HDD,8GB,500GB,Kristin,Cross,001-090-660-2335,jonesmatthew@example.com,Carrie Gonzalez,Second-hand Sales,Bank Transfer,44477,N/A,Offline,High,0,736,27223,0,604,1000,23814,27821
Africa,Botswana,Kgatleng,ABC Computers,6,Toshiba,Satellite,HDD,8GB,1TB,Melinda,Becker,369.542.7197x3693,patriciacampbell@example.net,Sarah Riley,Repairs,Finance,45136,N/A,Offline,Low,1605,168,18569,8856,621,67,15600,19901
Africa,Ethiopia,Dire Dawa,XYZ Tech,8,Apple,Apple iMac,SSD,16GB,1TB,Elizabeth,Jones,412-908-3192,abbottandre@example.org,Kenneth Herring,Returns,Cash,44614,44631,Online,Low,0,550,9087,0,668,647,8142,12375
North America,North Carolina,Cary,Greens Laptops and PCs,2,Microsoft,Surface Go,HDD,4GB,500GB,Arthur,Miller,4039419147,maryhart@example.org,Catherine Cuevas,New Sales,Finance,44476,44494,Online,Low,0,56,22240,34112,826,817,22010,24803
North America,Illinois,Peoria,Greens Laptops and PCs,3,Apple,Apple Macintosh Classic,HDD,16GB,1TB,Bryan,Khan,001-503-584-5373x1097,vasquezteresa@example.org,Ashley Jones,Repairs,Cash,45192,45200,Online,Medium,3915,564,13174,0,785,796,12766,15186
North America,Pennsylvania,Wilkes-Barre,A & A PCs,1,Microsoft,Surface Book,HDD,4GB,256GB,John,Woods,638-726-7449,erik93@example.net,Lisa Graham,New Sales,Bank Transfer,44759,N/A,Offline,Low,0,929,15221,0,638,399,15082,17521
North America,Ohio,Reynoldsburg,XYZ Tech,1,Lenovo,ThinkPad T14,SSD,4GB,1TB,Juan,Benjamin,001-652-293-9555x189,sarahperez@example.com,Roger Cole,Second-hand Sales,Bank Transfer,45119,N/A,Offline,Medium,0,30,20116,0,823,138,17984,21244
Africa,Ethiopia,Gambela,GH PC Shop,2,Microsoft,Surface Duo,HDD,4GB,500GB,Melissa,Spencer,(013)017-3093x329,tannerbrian@example.org,Joseph Good,Returns,Cash,45345,N/A,Offline,Medium,0,165,22602,0,848,777,21691,25935
North America,Illinois,Evanston,DEF Machines,4,Microsoft,Surface Hub,HDD,8GB,256GB,Barbara,Clark,787.658.4883,ydickerson@example.net,Jason Phillips,New Sales,Cash,44797,N/A,Offline,Medium,0,133,6208,0,413,368,6184,9781
Africa,Ethiopia,Benishangul-Gumuz,CK Tech Store,7,HP,Omen,HDD,8GB,1TB,Ashley,Schneider,872.914.6760,econley@example.org,Christopher Nicholson,Returns,Finance,45116,N/A,Offline,Medium,0,281,12883,38,573,581,11102,13179
Africa,Nigeria,Bayelsa,DEF Machines,6,Toshiba,Chromebook,HDD,16GB,500GB,Kristina,Martinez,+1-769-703-1309x71197,fdudley@example.org,Mary Shaw,Second-hand Sales,Finance,44430,44436,Online,High,0,702,22964,30397,445,851,21550,24676
North America,Michigan,Midland,ABC Computers,5,Toshiba,Satellite,HDD,2GB,500GB,Sean,Gill,(338)533-4487x339,stephaniegomez@example.com,Erika Larsen,Repairs,Bank Transfer,44277,N/A,Offline,High,4217,181,16570,0,694,231,13644,17794
Africa,Angola,Bengo,KyaSand Tech Gadgets,8,HP,Pavilion,SSD,2GB,500GB,Tanya,Martinez,139.711.8043x4174,richard30@example.com,Cassidy Mason,Second-hand Sales,Finance,44976,44994,Online,High,0,69,24642,144,549,630,22716,24918
North America,California,Riverside,A & A PCs,3,Microsoft,Surface Pro,HDD,8GB,1TB,Susan,Hester,+1-171-841-1278x483,jennifer92@example.org,Ryan Bradley,Returns,Cash,44360,44373,Online,High,0,92,27133,0,478,297,25662,29666
North America,Georgia,Columbus,ABC Computers,8,MSI,GS66 Stealth,HDD,4GB,500GB,James,Marshall,(880)083-4134,jerry23@example.net,Kimberly Smith,New Sales,Finance,45245,N/A,Offline,Medium,0,546,12521,22703,611,33,12381,14823
North America,Texas,Houston,Greens Laptops and PCs,4,Samsung,Notebook 7 Spin,HDD,8GB,256GB,Brandon,Spears,001-635-364-2918x8146,barkerraven@example.org,Lauren Morales,Repairs,Finance,45206,45225,Online,Medium,4917,197,19384,34455,570,85,17543,19860
Africa,Tanzania,Njombe,ABC Computers,10,Acer,Aspire E 15,SSD,16GB,256GB,Ryan,Cox,7243967278,joshua25@example.com,Tara Price,Repairs,Cash,44796,N/A,Offline,Low,1217,781,14270,0,675,730,12107,16053
North America,New York,Garden City,KyaSand Tech Gadgets,9,MSI,GE76 Raider,HDD,8GB,1TB,Jeremy,Perkins,+1-163-705-3411x073,dharris@example.org,Jake Lee,New Sales,Cash,44822,44834,Online,Low,0,695,20044,0,737,393,19095,21387
North America,Ohio,Dublin,Western International PCs,2,Asus,ExpertBook B9,SSD,2GB,1TB,Jamie,Lawson,582-086-2490,fevans@example.net,Ann Johnson,Second-hand Sales,Cash,44484,44497,Online,Low,0,462,22074,0,489,618,18678,23658
North America,Ohio,Euclid,KyaSand Tech Gadgets,8,Dell,OptiPlex,HDD,2GB,500GB,John,Gonzales,(288)230-4184x66100,lori42@example.org,Ann Johnson,New Sales,Finance,44980,N/A,Offline,High,0,905,15676,40970,721,716,14746,19343
North America,California,Chula Vista,GHI Machines,7,MSI,GE76 Raider,HDD,2GB,256GB,Eric,Schmidt,422-653-4581x68316,mark05@example.com,Joe Black,Second-hand Sales,Finance,44812,44831,Online,Medium,0,849,30932,13103,494,456,28148,31353
North America,Georgia,Warner Robins,Ricks Computers,1,Lenovo,ThinkPad X13 Yoga,HDD,4GB,256GB,Angel,Noble,535-505-9935x014,osantana@example.net,Rebecca Brown,Returns,Bank Transfer,45190,N/A,Offline,Low,0,271,20902,0,767,178,19208,21335
North America,North Carolina,Jacksonville,KyaSand Tech Gadgets,1,Apple,Apple MacBook Pro,HDD,4GB,500GB,Debra,Foster,+1-472-846-6487x79648,hjones@example.com,Tony Valenzuela,Repairs,Cash,44944,44974,Online,Medium,3266,330,13903,0,524,261,13725,17351
Africa,Morocco,Mediouna,Greens Laptops and PCs,9,Asus,ZenBook UX425,HDD,2GB,256GB,Lori,Rodriguez,227-983-0583x334,dfrazier@example.com,John Whitney,Second-hand Sales,Bank Transfer,44607,N/A,Offline,Low,0,583,14951,0,487,944,13294,17509
North America,North Carolina,Durham,Greens Laptops and PCs,4,Toshiba,Tecra,SSD,2GB,500GB,Matthew,Dawson,789.947.0368,johnathanware@example.com,Morgan Moore,Repairs,Finance,45268,N/A,Offline,Medium,2237,108,25958,29238,701,921,24381,28382
North America,New York,Freeport,GHI Machines,3,MSI,GL65 Leopard,HDD,4GB,500GB,Christopher,Arnold,746-159-3566,rowlanddiamond@example.net,Sean Guerrero,Returns,Finance,45211,45217,Online,Low,0,697,25155,22612,487,416,21165,25417
Africa,Ethiopia,Harari,Jacks Hardware,7,Dell,Chromebook,SSD,16GB,256GB,Dawn,Mason,(224)179-2009x28685,mitchellrandy@example.net,Michael Summers,Second-hand Sales,Finance,45301,N/A,Offline,Medium,0,952,27978,10269,821,807,25605,28214
Africa,Ghana,Ashanti,Mini Tech,7,Asus,ROG Strix Scar III,HDD,8GB,500GB,Nicole,Wagner,4118790285,camerondanielle@example.net,Jessica Morgan,Returns,Bank Transfer,44747,44775,Online,Medium,0,151,14778,0,776,779,13444,15816
North America,Michigan,Sterling Heights,Mini Tech,7,Toshiba,Libretto,HDD,8GB,256GB,Jacqueline,Cain,1935254823,shawngarcia@example.com,Michael Gomez,New Sales,Bank Transfer,44878,N/A,Offline,High,0,859,16233,0,595,515,14567,19019
Africa,Morocco,Mediouna,Greens Laptops and PCs,3,Lenovo,ThinkPad T14,HDD,2GB,1TB,Karen,Stevens,(891)640-6389,samuelmartinez@example.org,Kelly Mitchell,New Sales,Finance,45112,N/A,Offline,Low,0,415,22994,26409,752,925,21163,23223
Africa,Botswana,North-West,GH PC Shop,6,Asus,VivoBook Flip 14,HDD,2GB,1TB,Justin,Wolfe,7703980873,nelsonnicholas@example.net,Lisa Williams,Returns,Finance,45139,N/A,Offline,Medium,0,137,6645,33990,849,428,6167,10939
Africa,Angola,Uige,LJ Computers,3,HP,Probook,HDD,4GB,256GB,Nicholas,Johnson,124.772.9466x01437,samuel92@example.net,Kimberly Duncan,Repairs,Cash,45211,45219,Online,Medium,3578,866,6560,0,475,594,5268,8789
North America,Ohio,Lorain,CK Tech Store,10,Asus,VivoBook S14,HDD,2GB,1TB,Andrea,Carr,001-772-207-7719,rclark@example.org,Ann Johnson,Second-hand Sales,Bank Transfer,44917,44929,Online,Medium,0,781,31658,0,501,426,28837,31870
North America,Pennsylvania,Easton,Western International PCs,7,Apple,Apple PowerBook G4,HDD,16GB,500GB,Todd,Smith,(265)291-3460,sarah56@example.net,Carl Davis,Repairs,Finance,45029,N/A,Offline,Low,1122,564,11865,44216,461,398,8625,13059
Africa,Kenya,Bungoma,ABC Computers,1,Apple,Apple Macintosh Classic,HDD,2GB,1TB,Calvin,Robinson,-1835,william35@example.com,Amy Johnson,Returns,Bank Transfer,45304,45310,Online,Low,0,778,22516,0,593,72,19831,23372
Africa,Egypt,Giza,S & A Computer Place,6,Toshiba,Satellite,SSD,8GB,500GB,Jose,Cruz,(477)050-3664,ccameron@example.com,Evan Scott,Second-hand Sales,Bank Transfer,45101,45109,Online,Low,0,931,8025,0,631,203,5053,8420
North America,Florida,Coral Springs,ABC Computers,2,Microsoft,Surface Go,SSD,4GB,500GB,Tammy,Williams,+1-174-625-4880x2505,dawnrusso@example.com,Mark Evans,Second-hand Sales,Bank Transfer,44353,44371,Online,Low,0,531,11409,0,426,618,9083,11608
Africa,Egypt,Luxor,GH PC Shop,6,Toshiba,Libretto,SSD,2GB,500GB,Daniel,Gardner,866-252-1277x743,lfoster@example.com,Michael Gibson,Returns,Cash,44405,N/A,Offline,Medium,0,888,23543,0,816,172,23076,27558
Africa,Tanzania,Shinyanga,Ricks Computers,6,HP,Pavilion,HDD,2GB,1TB,Shelly,Cooper,652-807-4973x274,joshuamorrow@example.org,Tara Price,New Sales,Bank Transfer,44537,N/A,Offline,Low,0,854,30723,0,591,541,26039,30802
North America,New York,Spring Valley,DEF Machines,8,Apple,Apple Lisa,HDD,8GB,256GB,Patrick,Chang,(953)533-9374x454,snyderjon@example.com,Alan Newman,Returns,Cash,44700,44727,Online,Low,0,846,16647,0,495,959,15367,19663
Africa,Kenya,Kisii,CK Tech Store,8,HP,Pavilion,HDD,2GB,1TB,Jay,Hernandez,694.239.6817,kbyrd@example.net,Cassandra Mcmillan,New Sales,Finance,44428,44438,Online,Medium,0,76,10503,28747,686,502,10138,12653
North America,California,San Bernardino,ABC Computers,6,Samsung,Notebook 9,SSD,16GB,1TB,Michelle,Medina,731.598.1523x46219,fraziermitchell@example.org,Linda Perez,Repairs,Cash,44379,44382,Online,Medium,3240,982,5633,0,808,926,4966,8136
North America,Pennsylvania,Lancaster,Mini Tech,3,Acer,Predator Helios 300,HDD,4GB,256GB,Scott,Morrison,+1-653-175-2141x9978,rebecca53@example.net,Michael Smith,New Sales,Finance,45332,45346,Online,Low,0,575,20468,11416,594,859,20261,24216
North America,North Carolina,Gastonia,Ricks Computers,5,HP,Omen,HDD,16GB,1TB,Betty,Martinez,3613983432,turnerronald@example.com,Tony Valenzuela,New Sales,Cash,44342,44359,Online,High,0,449,22300,0,749,561,19268,22513
North America,California,Sacramento,Greens Laptops and PCs,5,Microsoft,Surface Laptop,SSD,2GB,256GB,Bryan,Munoz,933.694.4782x99809,millerkyle@example.com,Amber Montgomery,New Sales,Finance,45210,N/A,Offline,Medium,0,257,29505,48135,657,0,27225,30842
North America,Texas,Brownsville,Jacks Hardware,2,Dell,Alienware,SSD,4GB,1TB,John,Eaton,986-900-7974x5281,gcarlson@example.org,Laurie Wright,Second-hand Sales,Finance,44563,44576,Online,Low,0,887,4901,40188,597,974,4776,7290
Africa,Egypt,Aswan,KyaSand Tech Gadgets,8,Apple,Apple MacBook Pro,SSD,16GB,1TB,Alexis,Reese,043-855-4650x947,timothycarter@example.com,Jeffrey Nelson,Repairs,Cash,44542,44544,Online,Low,3763,362,12561,0,691,584,11971,15291
North America,Florida,Lakeland,ABC Computers,6,Microsoft,Surface Studio,HDD,16GB,500GB,Natasha,Smith,-2614,fjensen@example.net,Mark Evans,Second-hand Sales,Finance,45180,N/A,Offline,Medium,0,369,27027,7437,513,138,25137,29008
North America,Michigan,Warren,CK Tech Store,5,Samsung,Notebook Flash,HDD,8GB,500GB,John,Smith,188-959-3527,pscott@example.com,Kevin Padilla,Second-hand Sales,Bank Transfer,44360,44375,Online,Low,0,601,23522,0,749,957,23352,26143
Africa,Botswana,South-East,DEF Machines,5,Samsung,Chromebook 4,HDD,2GB,500GB,Crystal,Henry,001-875-924-1856x94476,danieljuarez@example.com,Susan Nelson,Second-hand Sales,Bank Transfer,44553,44574,Online,High,0,423,10973,0,630,314,10762,15668
North America,Georgia,Warner Robins,GH PC Shop,6,Acer,Spin 5,SSD,4GB,256GB,Heather,Gomez,7581310829,alicia05@example.net,Kimberly Smith,Second-hand Sales,Bank Transfer,44876,44882,Online,Low,0,686,25954,0,458,148,25360,27747
